Name,Lat,Lon,Date,Time,Load
B02182,40.679165,-73.989808,,,1
B02491,40.679233,-73.98981,,,1
B00202,40.679371,-73.989752,,,1
B00235,40.679434,-73.989974,,,1
B01949,40.679376,-73.989929,,,1
B02133,40.679143,-73.99007,,,1
B02248,40.679146,-73.989961,,,1
B02337,40.683736,-73.989717,,,1
B00225,40.715797,-73.98964,,,1
B01432,40.627547,-73.989128,,,1
B00823,40.665598,-73.988517,,,1
B02207,40.665583,-73.988466,,,1
B00827,40.670635,-73.988497,,,1
B01911,40.752842,-73.98785,,,1
B02715,40.752691,-73.987865,,,1
B02468,40.752598,-73.987786,,,1
B02633,40.603484,-73.987255,,,1
B02213,40.668063,-73.987218,,,1
B02406,40.754158,-73.986905,,,1
B00859,40.703204,-73.986314,,,1
B02455,40.702947,-73.986228,,,1
B90545,40.602841,-73.986434,,,1
B90620,40.60266,-73.986146,,,1
B90471,40.602687,-73.986045,,,1
B02138,40.616411,-73.985988,,,1
B02054,40.7481,-73.985849,,,1
B01327,40.668958,-73.985844,,,1
B02147,40.746678,-73.985835,,,1
B90635,40.5794,-73.985402,,,1
B02588,40.719012,-73.984935,,,1
B01341,40.718859,-73.98499,,,1
B02305,40.576593,-73.984989,,,1
B01559,40.638647,-73.984777,,,1
B02488,40.57946,-73.984086,,,1
B90640,40.579288,-73.984194,,,1
B00278,40.676327,-73.984328,,,1
B00552,40.751685,-73.983119,,,1
B01990,40.751365,-73.983148,,,1
B02651,40.638762,-73.983184,,,1
B02051,40.639075,-73.982958,,,1
B00014,40.639184,-73.982849,,,1
B00013,40.639101,-73.982901,,,1
B00277,40.639149,-73.982842,,,1
B00306,40.63883,-73.982972,,,1
B00381,40.638875,-73.982722,,,1
B00411,40.638895,-73.982821,,,1
B00608,40.639098,-73.982943,,,1
B00888,40.63908,-73.98272,,,1
B01877,40.638866,-73.982962,,,1
B02003,40.639095,-73.98279,,,1
B02675,40.636755,-73.983131,,,1
B02047,40.619282,-73.982998,,,1
B90625,40.584854,-73.982676,,,1
B01989,40.74752,-73.982359,,,1
B00593,40.61306,-73.982269,,,1
B01039,40.634266,-73.982137,,,1
B01998,40.766385,-73.982112,,,1
B02644,40.658519,-73.982033,,,1
B90105,40.585112,-73.98202,,,1
B90673,40.640505,-73.981573,,,1
B02729,40.76,-73.981389,,,1
B01146,40.641926,-73.981342,,,1
B00692,40.667561,-73.980799,,,1
B02347,40.615335,-73.980784,,,1
B01398,40.605212,-73.980387,,,1
B02747,40.681852,-73.980044,,,1
B01406,40.682106,-73.979652,,,1
B01351,40.629273,-73.980052,,,1
B02713,40.754997,-73.979769,,,1
B01346,40.677545,-73.979703,,,1
B02420,40.642741,-73.979594,,,1
B90587,40.603449,-73.978976,,,1
B01175,40.684132,-73.978568,,,1
B02470,40.9825,-73.97855,,,1
B90243,40.635942,-73.978112,,,1
B02763,40.680482,-73.977715,,,1
B01318,40.726146,-73.977343,,,1
B01263,40.637561,-73.977257,,,1
B90552,40.604791,-73.977254,,,1
B01057,40.635714,-73.976617,,,1
B90639,40.610912,-73.976589,,,1
B02055,40.683432,-73.975706,,,1
B90548,40.601571,-73.974652,,,1
B02184,40.737152,-73.974243,,,1
B02489,40.589379,-73.974242,,,1
B90660,40.615207,-73.974229,,,1
B00378,40.613577,-73.973916,,,1
B02641,40.590164,-73.973785,,,1
B01013,40.597057,-73.973488,,,1
B01608,40.597289,-73.973306,,,1
B01970,40.597343,-73.973577,,,1
B01475,40.609525,-73.973122,,,1
B90125,40.608177,-73.972884,,,1
B01699,40.687842,-73.972762,,,1
B01243,40.604258,-73.972713,,,1
B02662,40.830038,-73.972263,,,1
B01635,40.608962,-73.971591,,,1
B02591,40.646428,-73.970746,,,1
B02496,40.645544,-73.970621,,,1
B01930,40.645437,-73.970567,,,1
B00256,40.79765,-73.969328,,,1
B01743,40.797695,-73.969294,,,1
B90096,40.797478,-73.969734,,,1
B01289,40.59073,-73.968628,,,1
B01466,40.638106,-73.968448,,,1
B01148,40.680004,-73.96801,,,1
B01614,40.629475,-73.966787,,,1
B02590,40.597688,-73.966713,,,1
B02346,40.630236,-73.966239,,,1
B01685,40.606438,-73.965693,,,1
B00531,40.621943,-73.964648,,,1
B01021,40.576651,-73.964114,,,1
B02614,40.581098,-73.964036,,,1
B01118,40.678919,-73.963969,,,1
B02163,40.633712,-73.963824,,,1
B02376,40.676745,-73.963555,,,1
B02625,40.956758,-73.963526,,,1
B01741,40.675801,-73.96339,,,1
B02562,40.64223,-73.962864,,,1
B02058,40.64196,-73.963177,,,1
B00987,40.635571,-73.963217,,,1
B01629,40.577268,-73.962983,,,1
B01231,40.711993,-73.962872,,,1
B90715,40.617688,-73.962615,,,1
B01527,40.798933,-73.962159,,,1
B02739,40.694249,-73.961584,,,1
B01479,40.694068,-73.961789,,,1
B02228,40.800684,-73.9618,,,1
B00727,40.625642,-73.96149,,,1
B90034,40.578091,-73.960887,,,1
B90334,40.578068,-73.961078,,,1
B02741,40.577633,-73.961294,,,1
B02245,40.598801,-73.961214,,,1
B02529,40.595647,-73.961003,,,1
B90603,40.592167,-73.960433,,,1
B90238,40.592081,-73.960353,,,1
B90533,40.591834,-73.960302,,,1
B02536,40.59157,-73.960181,,,1
B02429,40.591467,-73.960286,,,1
B01312,40.715124,-73.959894,,,1
B90049,40.617868,-73.959838,,,1
B01482,40.578601,-73.95967,,,1
B01269,40.707337,-73.959322,,,1
B01009,40.706565,-73.959048,,,1
B90693,40.598553,-73.95901,,,1
B01190,40.694258,-73.95885,,,1
B01525,40.717494,-73.958506,,,1
B02401,40.717446,-73.95833,,,1
B02762,40.578848,-73.958489,,,1
B00449,40.60926,-73.958388,,,1
B01710,40.618038,-73.958101,,,1
B02315,40.579715,-73.957873,,,1
B00373,40.680006,-73.957611,,,1
B01109,40.679972,-73.957412,,,1
B90714,40.693742,-73.957859,,,1
B02022,40.742167,-73.957731,,,1
B00160,40.607854,-73.957175,,,1
B02368,40.736422,-73.957053,,,1
B80054,40.661847,-73.957018,,,1
B02506,40.679474,-73.95653,,,1
B90665,40.594701,-73.956359,,,1
B01821,40.594709,-73.956319,,,1
B00319,40.5996,-73.955592,,,1
B00990,40.746027,-73.955103,,,1
B01913,40.745936,-73.955412,,,1
B80098,40.594078,-73.955517,,,1
B01534,40.714264,-73.95487,,,1
B02004,40.71431,-73.954965,,,1
B90684,40.587869,-73.955125,,,1
B01306,40.730147,-73.954888,,,1
B01522,40.73341,-73.954778,,,1
B01751,40.610683,-73.95476,,,1
B02585,40.69475,-73.954595,,,1
B01259,40.707223,-73.954464,,,1
B02475,40.732381,-73.954107,,,1
B01704,40.587507,-73.953924,,,1
B00053,40.745509,-73.952793,,,1
B02503,40.745509,-73.952759,,,1
B02219,40.74634,-73.952881,,,1
B00919,40.807161,-73.952871,,,1
B90522,40.59583,-73.952757,,,1
B00556,40.770631,-73.952695,,,1
B01355,40.803164,-73.952556,,,1
B01653,40.598781,-73.952507,,,1
B02285,40.740302,-73.952485,,,1
B00106,40.643013,-73.952367,,,1
B01693,40.772997,-73.952115,,,1
B02721,40.996751,-73.952087,,,1
B01492,40.711259,-73.951178,,,1
B02453,40.711361,-73.950708,,,1
B01487,40.711274,-73.950913,,,1
B02006,40.723102,-73.950412,,,1
B00037,40.657302,-73.950281,,,1
B02718,40.750182,-73.950219,,,1
B02410,40.778867,-73.950028,,,1
B90605,40.590279,-73.949672,,,1
B90310,40.583565,-73.949432,,,1
B80150,40.654364,-73.948718,,,1
B80255,40.654662,-73.948638,,,1
B00448,40.593219,-73.94852,,,1
B02382,40.593225,-73.948716,,,1
B01818,40.750631,-73.948948,,,1
B02702,40.678672,-73.948503,,,1
B02303,40.678889,-73.948646,,,1
B02424,40.75213,-73.948611,,,1
B00151,40.588988,-73.947657,,,1
B00559,40.588944,-73.947798,,,1
B90288,40.592993,-73.948053,,,1
B01672,40.825414,-73.948009,,,1
B01801,40.752136,-73.947563,,,1
B01907,40.751975,-73.947603,,,1
B01309,40.75174,-73.947832,,,1
B02308,40.6601,-73.947666,,,1
B90563,40.592693,-73.947204,,,1
B02486,40.74524,-73.947097,,,1
B90537,40.593105,-73.947048,,,1
B02282,40.725055,-73.946879,,,1
B01300,40.831328,-73.946859,,,1
B01183,40.749472,-73.946462,,,1
B02650,40.750378,-73.945992,,,1
B02005,40.75031,-73.945801,,,1
B02657,40.817,-73.946169,,,1
B90395,40.593201,-73.946152,,,1
B90671,40.588872,-73.946144,,,1
B01538,40.82764,-73.945804,,,1
B01777,40.827896,-73.945742,,,1
B00196,40.792084,-73.945872,,,1
B00472,40.780328,-73.94574,,,1
B00296,40.745914,-73.945382,,,1
B02405,40.833696,-73.945354,,,1
B01714,40.664153,-73.944638,,,1
B01980,40.829365,-73.944602,,,1
B90301,40.616034,-73.944541,,,1
B02021,40.611936,-73.944534,,,1
B02655,40.745562,-73.944513,,,1
B02225,40.748914,-73.94438,,,1
B00318,40.678692,-73.944093,,,1
B01509,40.611587,-73.943983,,,1
B01675,40.711126,-73.943835,,,1
B02311,40.651098,-73.943543,,,1
B01641,40.628989,-73.943345,,,1
B01638,40.628901,-73.943335,,,1
B02287,40.746445,-73.94296,,,1
B02103,40.701338,-73.942941,,,1
B02263,40.758333,-73.942744,,,1
B02183,40.758635,-73.94234,,,1
B00623,40.741511,-73.941992,,,1
B02389,40.741417,-73.94194,,,1
B01020,40.668626,-73.942259,,,1
B00281,40.605139,-73.942094,,,1
B00837,40.741109,-73.941958,,,1
B02540,40.758105,-73.941958,,,1
B02623,40.89232,-73.94186,,,1
B01811,40.805223,-73.941512,,,1
B00385,40.671139,-73.941352,,,1
B90205,40.616375,-73.941249,,,1
B01868,40.761096,-73.940623,,,1
B02026,40.761072,-73.94066,,,1
B01529,40.711852,-73.940642,,,1
B02293,40.8332,-73.940598,,,1
B00035,40.757407,-73.940413,,,1
B01397,40.79367,-73.9402,,,1
B02461,40.836814,-73.940093,,,1
B02639,40.62557,-73.939984,,,1
B00001,40.753986,-73.939756,,,1
B01552,40.591756,-73.9396,,,1
B02512,40.748324,-73.939442,,,1
B02598,40.748487,-73.93913,,,1
B02617,40.748408,-73.939191,,,1
B02682,40.748246,-73.939128,,,1
B02764,40.748366,-73.939113,,,1
B02765,40.748411,-73.939454,,,1
B02511,40.690374,-73.939521,,,1
B02136,40.762034,-73.939413,,,1
B01065,40.797677,-73.939402,,,1
B80080,40.61874,-73.939256,,,1
B80145,40.6191,-73.939238,,,1
B02780,40.757324,-73.939244,,,1
B02160,40.761728,-73.938516,,,1
B02694,40.761817,-73.938639,,,1
B02273,40.751521,-73.938618,,,1
B02524,40.756623,-73.938508,,,1
B01339,40.838219,-73.938104,,,1
B01803,40.735296,-73.937647,,,1
B02660,40.756296,-73.937603,,,1
B02560,40.808575,-73.937535,,,1
B02095,40.739666,-73.937416,,,1
B02386,40.818928,-73.937349,,,1
B02706,40.759442,-73.937224,,,1
B00149,40.665159,-73.93701,,,1
B00271,40.754676,-73.936658,,,1
B90113,40.735987,-73.936187,,,1
B90204,40.735802,-73.93617,,,1
B02209,40.757655,-73.936105,,,1
B02525,40.75779,-73.936079,,,1
B00652,40.670407,-73.936547,,,1
B90073,40.692337,-73.936404,,,1
B90667,40.689719,-73.936403,,,1
B80169,40.652587,-73.936283,,,1
B90674,40.634716,-73.936063,,,1
B01861,40.755848,-73.935913,,,1
B02101,40.755871,-73.935918,,,1
B02210,40.651467,-73.935989,,,1
B00111,40.735995,-73.935716,,,1
B02414,40.758598,-73.93551,,,1
B90675,40.634372,-73.93531,,,1
B02471,40.768333,-73.935191,,,1
B02197,40.737414,-73.935138,,,1
B02602,40.698853,-73.935074,,,1
B00222,40.844991,-73.935062,,,1
B02027,40.756842,-73.934555,,,1
B02599,40.757051,-73.934612,,,1
B90154,40.702936,-73.93414,,,1
B90314,40.702729,-73.934113,,,1
B90540,40.774997,-73.93426,,,1
